s1	s6	s0
AHN	2012-04-07	44
AHN	2012-04-08	42
AHN	2012-04-09	32
AHN	2012-04-10	48
AHN	2012-04-11	18
AHN	2012-04-12	24
AHN	2012-04-13	26
AHN	2012-04-14	26
AHN	2012-04-15	24
AHN	2012-04-16	34
AHN	2012-04-17	22
AHN	2012-04-18	20
AHN	2012-04-19	26
AHN	2012-04-20	28
AHN	2012-04-21	26
AHN	2012-04-22	36
AHN	2012-04-23	44
AHN	2012-04-24	50
AHN	2012-04-25	22
AHN	2012-04-26	20
AHN	2012-04-27	26
AHN	2012-04-28	46
AHN	2012-04-29	28
AHN	2012-04-30	32
AHN	2012-05-01	30
AHN	2012-05-02	24
AHN	2012-05-03	18
AHN	2012-05-04	34
AHN	2012-05-05	24
AHN	2012-05-06	10
AHN	2012-05-07	30
AHN	2012-05-08	34
AHN	2012-05-09	28
AHN	2012-05-10	30
AHN	2012-05-11	26
AHN	2012-05-12	18
AHN	2012-05-13	36
AHN	2012-05-14	34
AHN	2012-05-15	24
AHN	2012-05-16	32
AHN	2012-05-17	22
AHN	2012-05-18	38
AHN	2012-05-19	18
AHN	2012-05-20	32
AHN	2012-05-21	26
AHN	2012-05-22	32
AHN	2012-05-23	14
AHN	2012-05-24	24
AHN	2012-05-25	38
AHN	2012-05-26	32
AHN	2012-05-27	26
AHN	2012-05-28	26
AHN	2012-05-29	32
AHN	2012-05-30	24
AHN	2012-05-31	30
AHN	2012-06-01	12
AHN	2012-06-02	26
AHN	2012-06-03	32
AHN	2012-06-04	32
AHN	2012-06-05	22
AHN	2012-06-06	34
AHN	2012-06-07	24
AHN	2012-06-08	34
AHN	2012-06-09	20
AHN	2012-06-10	30
AHN	2012-06-11	34
AHN	2012-06-12	22
AHN	2012-06-13	16
AHN	2012-06-14	36
AHN	2012-06-15	20
AHN	2012-06-16	28
AHN	2012-06-17	22
AHN	2012-06-18	36
AHN	2012-06-19	30
AHN	2012-06-20	30
AHN	2012-06-21	32
AHN	2012-06-22	18
AHN	2012-06-23	22
AHN	2012-06-24	24
AHN	2012-06-25	32
AHN	2012-06-26	14
AHN	2012-06-27	22
AHN	2012-06-28	34
AHN	2012-06-29	12
AHN	2012-06-30	22
AHN	2012-07-01	18
AHN	2012-07-02	36
AHN	2012-07-03	24
AHN	2012-07-04	28
AHN	2012-07-05	34
AHN	2012-07-06	12
AHN	2012-07-07	28
AHN	2012-07-08	28
AHN	2012-07-09	26
AHN	2012-07-10	28
AHN	2012-07-11	26
AHN	2012-07-12	22
AHN	2012-07-13	16
AHN	2012-07-14	24
AHN	2012-07-15	16
AHN	2012-07-16	16
AHN	2012-07-17	22
AHN	2012-07-18	16
AHN	2012-07-19	14
AHN	2012-07-20	26
AHN	2012-07-21	22
AHN	2012-07-22	22
AHN	2012-07-23	30
AHN	2012-07-24	28
AHN	2012-07-25	16
AHN	2012-07-26	8
AHN	2012-07-27	18
AHN	2012-07-28	24
AHN	2012-07-29	18
AHN	2012-07-30	26
AHN	2012-07-31	20
AHN	2012-08-01	6
AHN	2012-08-02	20
AHN	2012-08-03	6
AHN	2012-08-04	14
AHN	2012-08-05	12
AHN	2012-08-06	24
AHN	2012-08-07	14
AHN	2012-08-08	8
AHN	2012-08-09	20
AHN	2012-08-10	22
AHN	2012-08-11	14
AHN	2012-08-12	12
AHN	2012-08-13	24
AHN	2012-08-14	20
AHN	2012-08-15	20
AHN	2012-08-16	20
AHN	2012-08-17	24
AHN	2012-08-18	16
AHN	2012-08-19	22
AHN	2012-08-20	22
AHN	2012-08-21	16
AHN	2012-08-22	18
AHN	2012-08-23	26
AHN	2012-08-24	12
AHN	2012-08-25	20
AHN	2012-08-26	20
AHN	2012-08-27	20
AHN	2012-08-28	32
AHN	2012-08-29	26
AHN	2012-08-30	14
AHN	2012-08-31	16
AHN	2012-09-01	24
AHN	2012-09-02	18
AHN	2012-09-03	24
AHN	2012-09-04	22
AHN	2012-09-05	26
AHN	2012-09-06	16
AHN	2012-09-07	18
AHN	2012-09-08	16
AHN	2012-09-09	20
AHN	2012-09-10	22
AHN	2012-09-11	22
AHN	2012-09-12	14
AHN	2012-09-13	22
AHN	2012-09-14	28
AHN	2012-09-15	24
AHN	2012-09-16	12
AHN	2012-09-17	24
AHN	2012-09-18	24
AHN	2012-09-19	26
AHN	2012-09-20	14
AHN	2012-09-21	26
AHN	2012-09-22	18
AHN	2012-09-23	18
AHN	2012-09-24	20
AHN	2012-09-25	22
AHN	2012-09-26	26
AHN	2012-09-27	20
AHN	2012-09-28	18
AHN	2012-09-29	22
AHN	2012-09-30	14
AHN	2012-10-01	22
AHN	2012-10-02	20
AHN	2012-10-03	32
AHN	2012-10-04	10
AHN	2012-10-05	22
AHN	2012-10-06	12
AHN	2012-10-07	20
AHN	2012-10-08	20
AHN	2012-10-09	18
AHN	2012-10-10	28
AHN	2012-10-11	10
AHN	2012-10-12	38
AHN	2012-10-13	14
AHN	2012-10-14	16
AHN	2012-10-15	18
AHN	2012-10-16	24
AHN	2012-10-17	18
AHN	2012-10-18	22
AHN	2012-10-19	36
AHN	2012-10-20	18
AHN	2012-10-21	20
AHN	2012-10-22	26
AHN	2012-10-23	20
AHN	2012-10-24	16
AHN	2012-10-25	22
AHN	2012-10-26	16
AHN	2012-10-27	24
AHN	2012-10-28	10
AHN	2012-10-29	26
AHN	2012-10-30	20
AHN	2012-10-31	20
AHN	2012-11-01	16
AHN	2012-11-02	24
AHN	2012-11-03	18
AHN	2012-11-04	24
AHN	2012-11-05	20
AHN	2012-11-06	22
AHN	2012-11-07	18
AHN	2012-11-08	34
AHN	2012-11-09	48
AHN	2012-11-10	28
AHN	2012-11-11	14
AHN	2012-11-12	32
AHN	2012-11-13	12
AHN	2012-11-14	22
AHN	2012-11-15	18
AHN	2012-11-16	18
AHN	2012-11-17	26
AHN	2012-11-18	28
AHN	2012-11-19	22
AHN	2012-11-20	12
AHN	2012-11-21	30
AHN	2012-11-22	26
AHN	2012-11-23	24
AHN	2012-11-24	14
AHN	2012-11-25	26
AHN	2012-11-26	24
AHN	2012-11-27	26
AHN	2012-11-28	22
AHN	2012-11-29	20
AHN	2012-11-30	14
AHN	2012-12-01	8
AHN	2012-12-02	20
AHN	2012-12-03	24
AHN	2012-12-04	26
