s1	s6	s0
AHN	2012-04-21	646
AHN	2012-04-22	810
AHN	2012-04-23	722
AHN	2012-04-24	748
AHN	2012-04-25	662
AHN	2012-04-26	660
AHN	2012-04-27	720
AHN	2012-04-28	688
AHN	2012-04-29	734
AHN	2012-04-30	786
AHN	2012-05-01	770
AHN	2012-05-02	836
AHN	2012-05-03	762
AHN	2012-05-04	720
AHN	2012-05-05	674
AHN	2012-05-06	768
AHN	2012-05-07	872
AHN	2012-05-08	802
AHN	2012-05-09	776
AHN	2012-05-10	780
AHN	2012-05-11	738
AHN	2012-05-12	708
AHN	2012-05-13	808
AHN	2012-05-14	782
AHN	2012-05-15	820
AHN	2012-05-16	728
AHN	2012-05-17	758
AHN	2012-05-18	700
AHN	2012-05-19	710
AHN	2012-05-20	802
AHN	2012-05-21	914
AHN	2012-05-22	770
AHN	2012-05-23	772
AHN	2012-05-24	766
AHN	2012-05-25	786
AHN	2012-05-26	722
AHN	2012-05-27	772
AHN	2012-05-28	896
AHN	2012-05-29	852
AHN	2012-05-30	712
AHN	2012-05-31	760
AHN	2012-06-01	770
AHN	2012-06-02	724
AHN	2012-06-03	760
AHN	2012-06-04	858
AHN	2012-06-05	748
AHN	2012-06-06	810
AHN	2012-06-07	756
AHN	2012-06-08	788
AHN	2012-06-09	700
AHN	2012-06-10	738
AHN	2012-06-11	834
AHN	2012-06-12	826
AHN	2012-06-13	756
AHN	2012-06-14	762
AHN	2012-06-15	724
AHN	2012-06-16	702
AHN	2012-06-17	606
AHN	2012-06-18	776
AHN	2012-06-19	720
AHN	2012-06-20	708
AHN	2012-06-21	718
AHN	2012-06-22	720
AHN	2012-06-23	656
AHN	2012-06-24	748
AHN	2012-06-25	842
AHN	2012-06-26	654
AHN	2012-06-27	704
AHN	2012-06-28	680
AHN	2012-06-29	630
AHN	2012-06-30	586
AHN	2012-07-01	700
AHN	2012-07-02	720
AHN	2012-07-03	778
AHN	2012-07-04	712
AHN	2012-07-05	634
AHN	2012-07-06	734
AHN	2012-07-07	710
AHN	2012-07-08	744
AHN	2012-07-09	778
AHN	2012-07-10	742
AHN	2012-07-11	722
AHN	2012-07-12	632
AHN	2012-07-13	740
AHN	2012-07-14	682
AHN	2012-07-15	712
AHN	2012-07-16	790
AHN	2012-07-17	690
AHN	2012-07-18	780
AHN	2012-07-19	644
AHN	2012-07-20	708
AHN	2012-07-21	664
AHN	2012-07-22	636
AHN	2012-07-23	578
AHN	2012-07-24	624
AHN	2012-07-25	720
AHN	2012-07-26	644
AHN	2012-07-27	750
AHN	2012-07-28	646
AHN	2012-07-29	694
AHN	2012-07-30	704
AHN	2012-07-31	686
AHN	2012-08-01	638
AHN	2012-08-02	704
AHN	2012-08-03	670
AHN	2012-08-04	660
AHN	2012-08-05	696
AHN	2012-08-06	744
AHN	2012-08-07	746
AHN	2012-08-08	700
AHN	2012-08-09	700
AHN	2012-08-10	734
AHN	2012-08-11	712
AHN	2012-08-12	758
AHN	2012-08-13	866
AHN	2012-08-14	810
AHN	2012-08-15	798
AHN	2012-08-16	720
AHN	2012-08-17	790
AHN	2012-08-18	732
AHN	2012-08-19	758
AHN	2012-08-20	916
AHN	2012-08-21	720
AHN	2012-08-22	748
AHN	2012-08-23	806
AHN	2012-08-24	804
AHN	2012-08-25	802
AHN	2012-08-26	716
AHN	2012-08-27	912
AHN	2012-08-28	788
AHN	2012-08-29	792
AHN	2012-08-30	642
